VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,TotalSalesPrice,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,5910,107798.4,946.0,23640.54,1738.14,2573.97,123780.22,-84157.85999999999,-355.98958399427414,0.16006768189509307,0.21930325496482325
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,6409,106773.94,0.0,0.0,0.0,0.0,257032.07,-106773.94,-inf,0.0,0.0
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,4581,81404.37,452.0,10859.48,355.88,2578.93,89286.27,-70544.89,-649.6157274565634,0.09866841301025976,0.13340168347227552
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,3163,73349.97,401.0,11628.99,736.79,3105.93,144929.24,-61720.98,-530.7509938524327,0.12677837496048056,0.15854116913749247
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,2585,67907.95,498.0,17923.02,915.02,3275.09,68601.68,-49984.92999999999,-278.88676127125893,0.19264990328820117,0.26393110085048954
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,4789,67860.13,631.0,11351.69,1159.42,1942.9199999999998,89286.27,-56508.44,-497.797596657414,0.1317602839841303,0.16728069928542724
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,2949,64553.61,371.0,11136.289999999999,681.56,3066.98,257032.07,-53417.32,-479.66890230049694,0.12580535774838927,0.17251227313236236
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,3378,43711.32,494.0,8887.06,907.64,1942.9199999999998,257032.07,-34824.26,-391.8535488676796,0.14624037892243932,0.2033125515312738
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,1055,40374.85,37.0,2145.63,68.04,1797.69,89286.27,-38229.22,-1781.7247148856047,0.035071090047393366,0.05314273613400422
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,2415,39340.35,203.0,5267.969999999999,372.97999999999996,1867.28,123880.97,-34072.38,-646.7838655117627,0.08405797101449275,0.1339075529322947
